item,product type,set,cost,sold,show,purchased date,sold date
cubone,card,gem pack,100.0,400,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
solosis,card,black white,31.5,45,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
lapris,card,destined,15.0,40,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
deoxys psa 10,graded card,crown zenith,50.0,320,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
mewtwo psa 9,graded card,crown zenith,35.0,320,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
zacian psa 10,graded card,crown zenith,65.0,145,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
eevee,card,promo,15.0,20,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
spewpa,card,phantasmal,3.5,5,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
giratina vstar,card,crown zenith,90.0,500,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
